ก๋วยเตี๋ยวคั่วไก่ แบบง่าย,"เส้นใหญ่300กรัม
ไข่ไก่2 ฟอง
ซีอิ๊วขาว2 ช้อนโต๊ะ
น้ำตาล2 ช้อนชา
เกลือ 1/2 ช้อนชา1/2 ช้อนชา
ต้นหอม ผักชีซอย1 ช้อนโต๊ะ
น้ำมันพืชหรือน้ำมันหมูเล็กน้อย
--เครื่องปรุงหมักไก่--
อกไก่หั่นชิ้นพอคำ200 กรัม
น้ำตาลทราย1 ช้อนชา
แป้งมัน1 ช้อนโต๊ะ
พริกไทย1/2 ช้อนชา"
ไข่เจียวทรงเครื่องซอสมันกุ้ง,"ไข่ไก่ 5 ฟอง 
น้ำปลา 1 ช้อนโต๊ะ 
ซอสปรุงรส 1 ช้อนโต๊ะ  
เนื้อกุ้งหั่นชิ้น 300 กรัม  
ผงฟู 1/2 ช้อนชา  
มันหัวกุ้ง 3 ช้อนโต๊ะ  
น้ำสต๊อกไก่ 200 มิลลิลิตร  
ซีอิ๊วขาว 2 ช้อนโต๊ะ  
น้ำตาลทราย ½ ช้อนโต๊ะ 
กุ้งลายเสือ 150 กรัม  
ผักสามสี 50 กรัม  
แป้งข้าวโพดผสมน้ำ 2 ช้อนโต๊ะ  
ต้นหอมซอย สำหรับตกแต่ง"
ไข่ดองน้ำปลาแบบง่ายกว่านี้ไม่มีอีกแล้ว,"ไข่แดงสด4 ใบ
น้ำปลา125 ml
น้ำเปล่าสะอาด250 ml
น้ำตาลปี้บ1/3 cup
พริกแดงสดซอยตามชอบ
ต้นหอมสดซอยตามชอบ "
เทนชินฮัง,"วัตถุดิบน้ำราด เนยจืด 15 กรัม  
โชยุ 2 ช้อนโต๊ะ  
น้ำสต๊อกไก่ 200 มิลลิลิตร  
น้ำตาลทราย ½ ช้อนโต๊ะ  
เกลือ ½ ช้อนชา 
พริกไทย ½ ช้อนชา  
น้ำส้มสายชูข้าว ½ ช้อนโต๊ะ  
น้ำมันงา 1 ช้อนชา  
แป้งมันละลายน้ำ 1 ช้อนโต๊ะ วัตถุดิบข้าวหน้าไข่
ปูอัด 80 กรัม  
ไข่ไก่ 4 ฟอง  
มายองเนส 2 ช้อนชา  
ซุปดาชิ 1 ช้อนโต๊ะ  
เกลือ ½ ช้อนชา 
พริกไทย ½ ช้อนชา 
น้ำมันพืช 1 ช้อนโต๊ะ  
ข้าวญี่ปุ่นหุงสุก 1 ถ้วยตวง  
ถั่วลันเตาลวก สำหรับโรยหน้า"
แตงกวาผัดไข่,"น้ำมัน1 ช้อนโต๊ะ
กระเทียมสับ15 กลีบ
แตงกวา500 กรัม
น้ำสะอาด1/2 ถ้วยเล็ก
น้ำตาลทราย3 ช้อนชา
ผงปรุงรส1 ช้อนชา
น้ำปลา1/2 ช้อนโต๊ะ
ซีอิ้วปรุงรส1 ช้อนโต๊ะ
น้ำมันหอย3-4 ช้อนโต๊ะ
พริกไทยป่น1/2 ช้อนชา
ไข่3 ฟอง"
ดอกมะลิผัดไข่,"ดอกมะลิตูม (แนะนำใช้แบบปลูกเอง ไม่ใช้ยาฆ่าแมลง) 200 กรัม 
ไข่ไก่ 3 ฟอง  
กระเทียม 1 หัว 
ซีอิ๊วขาว 1 ช้อนโต๊ะ 
ซอยหอยนางรม 1 1/2 ช้อนโต๊ะ
พริกไทยขาวป่น 1 ช้อนชา  
ผักชี สำหรับตกแต่ง"
ปีกไก่ทอดน้ำปลา,"ปีกไก่ครึ่งโล
น้ำปลาแท้2 ช้อนช้อน
แป้งสำหรับทอด3-4 ช้อน
น้ำมันสำหรับทอดปริมาณให้ทั่วเนื้อไก่
ซีอิ้วขาว2 ช้อน"
ไก่ย่างจิ้มแจ่ว,"เนื้อสะโพกไก่ 2 ชิ้นใหญ่ 
น้ำมันมะกอก 2 ช้อนโต๊ะ 
ผงปรุงรส 2 ช้อนชา 
น้ำมันหอย 2 ช้อนโต๊ะ  
ซีอิ๊วขาว 2-3 ช้อนโต๊ะ 
สามเกลอ 1 ข้อนโต๊ะ  
วัตถุดิบ “น้ำจิ้มแจ่ว”
น้ำปลา 2 ช้อนโต๊ะ 
น้ำมะนาว 1 ช้อนโต๊ะ  
พริกป่น 1 ช้อนโต๊ะ  
น้ำตาลปี๊บ 1 ช้อนโต๊ะ  
ข้าวคั่ว 2 ช้อนโต๊ะ  
หอมแดงซอย ตามชอบ  
ผักชีฝรั่งซอย ตามชอบ"
บาร์บีคิว สูตรทำขาย และทำกิน,"หมูสันคอ1 กิโลกรัม
หมูส่วนสะโพก3กิโลกรัม
กระเทียมโขลกละเอียด2 ช้อนโต๊ะ
ผักชีซอย ใช้ต้นใหญ่2 ต้น
พริกไทยดำ.ขาว โขลกละเอียด3 ช้อนโต๊ะ
นมสดคาเนชั่นครึ่ง กระป๋อง
น้ำมันพืช1 ช้อนโต๊ะ
รสดี ผงปรุงรส2 ช้อนโต๊ะ
น้ำตาลทราย6 ช้อนโต๊ะ
น้ำตาลปีบ3 ช้อนโต๊ะ
เกลือ1 ช้อนโต๊ะ
ซอสบาร์บีคิวที่ผสมเรียบร้อย12 ช้อนโต๊ะ
ซีอิ้วดำ3 ช้อนโต๊ะ
ซอสฝาเขียว2 ช้อนโต๊ะ
สับปะรดเนื้อแน่น2 ลูก ใหญ่
พริกหยวก.พริกชีฟ้าแดงครึ่ง กิโลกรัม
หอมใหญ่.หรือ หอมแขก3 หัว
มะเขือเทศราชินี200 กรัม
ซอสบาร์บีคิว1 ถ้วยตวง
ซอสมะเขือเทศ1 ถ้วยตวง ครึ่ง
ซอสพริก1 ถ้วยตวง
น้ำเปล่า1 ถ้วยตวง
พริกป่นละเอียด . หรือผงปาปริก้า1 ช้อนโต๊ะ
ผงพะโล้ครึ่งช้อนโต๊ะ
กระเทียมสับละเอียด1 ช้อนโต๊ะ
เนย1 ช้อนโต๊ะ"
ปีกกลางไก่พาร์เมซานกระเทียม,"ปีกกลางไก่ จาก โลตัส 500 กรัม
กระเทียมสับ 40 กรัม
เนย 50 กรัม
พาร์เมซานชีส 50 กรัม
ผงกระเทียม 2 ช้อนชา
เกลือ 1/2 ช้อนชา
พริกไทย 1/2 ช้อนชา
เลมอน สำหรับกินเคียง
แป้งทอดกรอบ 1 ถ้วย
พาร์สลีย์ สำหรับตกแต่ง"
ขนมจีนน้ำยากะทิตีนไก่,"เนื้อไก่บดละเอียด3 ขีด
น้ำกะทิคั้นครึ่งโล
พริกแกงเผ็ด2 ขีด
กระชาย1 หัว
ใบมะกรูด4-5 ใบ
ตีนไก่1 โล
เลือดไก่1 ก้อน
ลูกชิ้นปลาครึ่งโล
น้ำตาลทรายแดง3 ช้อนโต๊ะ
เกลือ1 ช้อนโต๊ะ
รสดี1 ช้อนโต๊ะ
ขนมจีน1 โล
ผักเคียงตามชอบ"
เคบับไก่,"น่องติดสะโพก เลาะกระดูกออก 3 ชิ้น  
ผงยี่หร่า 1/2 ช้อนโต๊ะ  
ผงลูกผักชี 1/2 ช้อนโต๊ะ  
ผงมาซาล่า 1/2 ช้อนโต๊ะ  
ผงกะหรี่ 1/2 ช้อนโต๊ะ  
ผงปาปริก้า 1/2 ช้อนโต๊ะ  
พริกไทยดำตำ 1/2 ช้อนโต๊ะ  
กระเทียม 1 หัว  
หอมหัวใหญ่ 1 หัว วัตถุดิบซอสโยเกิร์ต 
โยเกิร์ตรสธรรมชาติ 2 ถ้วย  
มายองเนส 2 ช้อนโต๊ะ 
กระเทียมใหญ่ 6 กลีบ  
พริกไทยดำ 1/2 ช้อนชา  วัตถุดิบซอสชีส  
เนยจืด 2 ช้อนโต๊ะ  
แป้งข้าวโพด 1 ช้อนโต๊ะ  
นมจืด 250 มล.
ชีสแผ่น 6-7 แผ่น วัตถุดิบอื่น ๆ
มะเขือเทศ ตามชอบ  
ผักสลัด ตามชอบ 
แผ่นแป้งเคบับ"
แกงไก่เส้นร้อน(วุ้นเส้น),"ไก่1/2 ตัว
วุ้นเส้นขนาด 100 กรัม1 ห่อ
หัวหอมหั่น3 ช้อนโต๊ะ
ตะไคร้ซอย2 ช้อนโต๊ะ
พริกขี้หนูแห้ง6-8 เม็ด
พริกขี้หนูสีแดง4 เม็ด
เกลือ1 ช้อนโต๊ะ
น้ำปลา3 ช้อนโต๊ะ
ใบมะกรูด10 ใบ
ใบแมงลักตามชอบ
ต้นหอมหั่นท่อน3 ต้น
น้ำเปล่า4 ถ้วย
ตะไคร้หั่นท่อน2 ต้น"
ไก่กรอบซอสน้ำปลาภูเขาไฟ,"สะโพกไก่ติดน่องเลาะกระดูก 4 ชิ้น  
ผงปรุงรสไก่ 1 ช้อนชา  
น้ำปลา 1 ช้อนโต๊ะ  
แป้งทอดกรอบ 1 ถ้วยตวง  
ข้าวสวย สำหรับจัดเสิร์ฟ วัตถุดิบซอสน้ำปลา
น้ำตาลมะพร้าว 250 กรัม  
น้ำเปล่า 100 มิลลิลิตร  
น้ำปลา 100 มิลลิลิตร "
ซุปไก่อย่างง่าย,"น่องไก่บน6 ชิ้น
มันฝรั่ง2-3 ผล
แครอท1 หัว
หอมใหญ่1-2 หัว
มะขือเทศสีดา/ท้อ2-4 / 2 ผล
เกลือสมุทร1-2 ช้อนโต๊ะ
น้ำซุปหรือน้ำเปล่า1-1.5 ลิตร
ซอสปรุงรส/ซีอิ้วขาว1-2 ช้อนโต๊ะ"
ตีนไก่ใต้น้ำ,"ตีนไก่ 1 กิโลกรัม
น้ำปลาร้า 1 ถ้วยตวง
น้ำปลา 2 ช้อนโต๊ะ
ผงปรุงรส 1 ช้อนโต๊ะ
หอมแดง 10 หัว
กระเทียมไทย 2 ช้อนโต๊ะ
ข่า 1/2 แง่ง
ตะไคร้ 3 ต้น
ใบมะกรูด 3 ใบ
ผักชีลาว 3 ต้น
ต้นหอม 3 ต้น
น้ำสะอาด 2 ลิตร
พริกจินดาแดง"
ปีกไก่ทอดไร้น้ำมัน,"ปีกไก่10 ชิ้น
น้ำปลา1 ช้อนโต๊ะ
เกลือ1 ช้อนชา"
ไก่กระวานผัดเผ็ด,"สะโพกไก่ 1 กิโลกรัม  
หน่อกระวาน 3 หน่อ  
น้ำสต๊อกไก่ 1/4 ถ้วยตวง  
พริกชี้ฟ้าเขียว 2 เม็ด  
พริกชี้ฟ้าแดง 1 เม็ด  
ใบมะกรูด 5 ใบ 
น้ำปลา 1/2ช้อนโต๊ะ  
น้ำมัน 2 ช้อนโต๊ะ วัตถุดิบพริกแกง
ข่า 5 แว่น 
ตะไคร้ 1 ต้น 
ผิวมะกรูด ½ ผล  
กระเทียมไทย 10 กลีบ  
เกลือ ½ ช้อนชา  
พริกขี้หนูสวน ¼ ถ้วยตวง  
กะปิ 2 ช้อนโต๊ะ"
ก๋วยเตี๋ยวคั่วไก่ แบบง่าย แต่อร่อย,"เส้นใหญ่300กรัม
ไข่ไก่2 ฟอง
ซีอิ๊วขาว2 ช้อนโต๊ะ
น้ำตาล2 ช้อนชา
เกลือ 1/2 ช้อนชา1/2 ช้อนชา
ต้นหอม ผักชีซอย1 ช้อนโต๊ะ
น้ำมันพืชหรือน้ำมันหมูเล็กน้อย
--เครื่องปรุงหมักไก่--
อกไก่หั่นชิ้นพอคำ200 กรัม
น้ำตาลทราย1 ช้อนชา
แป้งมัน1 ช้อนโต๊ะ
พริกไทย1/2 ช้อนชา"
ไก่ต้มหน่อกระวาน,"รากผักชี 2 ราก  
พริกไทย 1 ช้อนชา  
หอมแดง 7 หัว  
ตะไคร้ 1 ต้น 
น้ำสะอาด 3 ถ้วยตวง  
น่องไก่ติดสะโพก 1 กิโลกรัม 
น้ำปลา 1/2 ถ้วยตวง  
หน่อกระวาน 2 หน่อ 
น้ำตาลทราย 1 ช้อนโต๊ะ 
ใบมะกรูด 4 ใบ 
ผักชีใบเลื่อย 3 ต้น 
พริกขี้หนู 1/4 ถ้วยตวง 
มะนาว 2 ลูก"
พะโล้ไข่เป็ดต้มแซ่บ,"น้ำสะอาด 3 ลิตร 
ปีกกลางไก่ 500 กรัม 
ปีกบนไก่ 500 กรัม
ไข่เป็ด 5 ฟอง 
รากผักชี 2 ราก 
อบเชย 4 แท่ง 
โป๊ยกั๊ก 5 ดอก 
น้ำตาลมะพร้าว 1 ½ ถ้วยตวง 
น้ำปลา 1 ถ้วยตวง 
เกลือ 1 ช้อนโต๊ะ 
มะนาว 6 ลูก 
พริกขี้หนูสวน ¼ ถ้วยตวง 
พริกจินดาแดง 10 เม็ด 
ผักชี (สำหรับตกแต่ง)"
ผัดเผ็ดไก่บ้าน,"ไก่บ้านครึ่งกิโลกรัม
พริกแกง2​ ช้อนโต๊ะ
น้ำมันพืช2​ ช้อนโต๊ะ
ใบมะกรูด8​ ใบ
ใบกะเพรา1​ กำมือ
น้ำปลา1​ ช้อนโต๊ะ
ซอสปรุงรส1​ ช้อนชา
น้ำตาลครึ่งช้อนชา"
ไก่นึ่งเมือง,"ไก่บ้าน 1 ตัว 
พริกแห้ง 8 เม็ด  
เกลือ 1 ช้อนชา  
ลูกผักชี 2 ช้อนชา 
ตะไคร้ 2 ช้อนโต๊ะ  
ข่า 1 ช้อนโต๊ะ  
ขมิ้น 2 ช้อนโต๊ะ 
รากผักชี 3 ราก  
กระเทียม 10 กรัม 
หอมแดง 10 กรัม  
กะปิ 1 ช้อนชา  
น้ำปลาร้า ½ ช้อนโต๊ะ  
ใบมะกรูด 15 ใบ  
ผักชีซอย ตามชอบ (สำหรับใส่น้ำจิ้ม)
น้ำปลา ตามชอบ"
