มาม่าผัดขี้เมาทะเล,"กุ้ง เนื้อปลา ปลาหมึก: ไม่ต้องเยอะมากอะ กะเอาเอง
มาม่าบิ๊กแพ๊ครสต้มยำ: 1 ซอง
ใบโหระพา: 
เม็ดพริกไทย: 
ไข่ไก่: 
พริกขี้หนูสด: 
กระเทียม: 
ซีอิ๊วดำ:"
ผัดพริกแกงหมูสับถั่วฝักยาว,"หมูสับ: 100 กรัม
น้ำพริกแกงเผ็ด: 2 ช้อนโต๊ะ
ถั่วฝักยาว ล้างให้สะอาดแล้วหั่นท่อนสั้นๆ: 1 ถ้วย
น้ำมันสำหรับผัด: 2 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ"
"“น้ำพริกเผาผัดหมูสับ""","พริกแห้งแบบเผ็ดมาก: 20 เม็ด
พริกแห้งแบบเผ็ดน้อย: 50 เม็ด
หอมแดง: 10 หัว
กระเทียม: 20 กลีบ
น้ำมัน: 2 ช้อนโต๊ะ
หมูสับ: 100 กรัม
น้ำสะอาด: 1 ถ้วย
น้ำตาลปี๊บ: 5-6 ข้อนโต๊ะ
น้ำปลา: 8-10 ช้อนโต๊ะ
มะขามเปียก: 4-5 ช้อนโต๊ะ"
ผัดพริกหยวกหมู,"เนื้อหมูติดมัน: 3 ขีด
พริกหยวก: 3 อัน
หอมใหญ่: 1/2 หัว
น้ำมันหอย: 2 ช้อนโต๊ะ
น้ำตาลทราย: 2 ช้อนโต๊ะ
ซีอิ้วขาว: 3ช้อนโต๊ะ"
สะตอผัดกะปิหมูสามชั้น,"สะตอ: 8 ฟัก
พริกแกงใต้: 3 ช้อนโต๊ะ
หมูสามชั้น(หั่น): 400 กรัม
กระปิ + น้ำตาลปี๊ป ตามชอบ (ผสมน้ำอุ่น): 
ใบมะกูดซอย: ตามชอบ
พริกชี้ฟ้าซอย: 2-3 เม็ด
น้ำปลา: ตามชอบ
ตะใคร้ซอบ: ตามชอบ"
น้ำจิ้มขนมจีบ,"ซีอิ๊วดำ: 3 ช้อนโต๊ะ
น้ำส้มสายชู: 3 ช้อนโต๊ะ
น้ำตาลทราย: 2 ช้อนโต๊ะ
พริกขี้หนู: 4 เม็ด"
แกงไก่ ใส่ฟักเขียว,"สะโพกไก่: 1 kg
ฟักเขียวอ่อน: 1 ลูก
พริกแกงแดง: 2 ขีด
ใบมะกรูดฉีก: 5 ใบ
ใบโหระพา: 1 ถต.
น้ำตาลทราย: 2 ชต
รสดี: 1 ชต
น้ำปลา: 1 ชต
กะทิ: 1 kg
หางกะทิ: 2 ถต."
มะม่วงแช่อิ่ม ไม่มีสี ไม่มีสาร,"มะม่วงสด: 2 กก.
เกลือหมักดอก: 200 กรัม
น้ำตาลทราย: 500 กรัม"
กุ้งแช่น้ำปลาน้ำจิ้มซีฟู๊ด,"กุ้งสุดปอกเปลือกผ่าหลังเอาเส้นดำออก: 8- 10 ตัว
น้ำปลาสำหรับหมักกุ้ง: 2 ช้อนโต๊ะ
โซดาแช่เย็นจัดๆ: 2 ช้อนโต๊ะ
มะระ หั่นแว่น: 8-10 ชิ้น
กระเทียมสดซอยแว่น: 2 กลีบ
ใบสะระแหน่: 5-6 ใบ
พริกขี้หนู: 3 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนโต๊ะ
น้ำตาลปี๊ป: 1 ช้อนโต๊ะ
น้ำปลา: 4 ช้อนโต๊ะ
น้ำมะนาว: 3-4 ช้อนโต๊ะ
น้ำสะอาด: 4 ช้อนโต๊ะ
ใบสะระแหน่+ โหระพา+ ผักชี: อย่างละ 3-4 ใบ
กระเทียมกลีบ: 2 ช้อนโต๊ะ"
พะแนงไก่,"อกไก่หั่นชิ้นบาง: 300 ก.
พริกแกงพะแนง: 50 ก.
กะทิสดคั้นข้นๆจากมะพร้าว: 270 ก.
น้ำตาลโตนด: 1.5 ช้อนชา
น้ำปลา: 1 ช้อนชา
ใบมะกรูดซอย: 
พริกแดงซอย:"
ไข่พะโล้,"ไข่ไก่ หรือ ไข่เป็ด: 6-8 ฟอง
ไข่นกกระทา: 15 ฟอง
เครื่องพะโล้สำเร็จรูป: 1 ซอง
ซีอิ้วดำหวาน: 2 ช้อนโต๊ะ
ผักชี: 2 ต้น
น้ำมัน: 2 ช้อนโต๊ะ
น้ำเปล่า: 1 ลิตร"
ต้มแซ่บเนื้อ,"เนื้อวัว(เศษเนื้อหรือส่วนอื่นตามชอบ): 180 กรัม
ตะไคร้หั่น: 3 ต้น
หอมแดง: 5 หัว
ข่าหั่นแว่น: 5 ชิ้น
รากผักชี: 2 ราก
เกลือป่น: 1/2 ช้อนชา
ต้นหอมซอย: 1 ต้น
ผักชีฝรั่ง: 2 ต้น
น้ำมะขามเปียก: 3 ช้อนโต๊ะ
น้ำมะนาว: 1/2 ลูก
พริกขี้หนูทุบ: 7-8 เม็ด
น้ำตาลทราย: 1 ช้อนชา
น้ำปลา: 2 ช้อนโต๊ะ
น้ำเปล่า:"
ต้มยำขาหมู,"ขาหมูเผา (สับเป็นชิ้นๆ): 1.5 ก.ก
ข่าหั่นแว่นบาง ๆ: 10-15 แว่น
ตะไคร้ (หั่นท่อน และ บุบ): 2 ต้น
ใบมะกรูดฉีก: 5 ใบ
พริกขี้หนูแห้งทอด: 5-10 เม็ด
้มะนาว: 4-5 ลูก
ผงปรุงรสคนอร์: 2 ช.ช.
น้ำปลา: 2 ช.ต.
เกลือ: 2 ช.ช.
น้ำสะอาด: 6 ถ้วย
ผักชี และ ผักชีใบเลื่อย สำหรับโรย:"
แกงคั่วหอยขมใบชะพลู,"หอยขมล้างสะอาดลวก: 400-500 กรัม
ใบชะพลูหั่นเส้น: 1 ชาม
ชะอม: 1 ชาม
พริกแกงแดง: 2 ช้อนโต๊ะ
กะทิ: 400 มิลลิตร
น้ำสะอาด: 1 1/2 ถ้วย
น้ำตาลมะพร้าว: 1-1 1/2 ช้อนโต๊ะ
น้ำปลา: ตามชอบ"
พริกแกงเผ็ด แบบพริกสด,"พริกแดงจินดา: 15 เม็ด
หอมแดง: 3 หัว
กระเทียม: 7 กลีบ
กระชาย: 5 แง่ง
ตะไคร้: 2ต้น
ข่า(ซอยแล้วตวง ): 2ช้อนโต๊ะ
ผิวมะกรูด จากผลมะกรูด: 1 ผล
พริกไทยเม็ด: 15 เม็ด
เกลือ: 1/2 ช้อนชา
กะปิ: 1ช้อนชา
เพิ่มสีสันแดงสดๆ จากพริกชี้ฟ้าแดง: 1เม็ด"
ผัดหอยลายใบโหระพา,"หอยลาย: 1 kg
กระเทียม: 5 กลีบ
พริกขี้หนู: 3 เม็ด
ใบโหระพา: 3 ต้น
น้ำเปล่า: 1/2 ถ้วยตวง
เต้าเจี้ยว: 1 ช้อนชา
ซอสหอยนางรม: 1/2 ช้อนชา
น้ำปลา: 1/2 ช้อนชา"
ขนมกล้วย/ขนมฟักทอง,"กล้วยน้ำว้าสุก: 7-8ลูก
ฟักทองนึ่ง: 250กรัม
แป้งข้าวจ้าว: 300กรัม
แป้งมัน: 40กรัม
น้ำตาลทราย(แบ่ง2ส่วน): 360กรัม
หัวกะทิ(แบ่ง2ส่วน): 14ออน
เกลือป่น: 1/2ช้อนชา
เนื้อมะพร้าวขูด(แบ่ง2ส่วน): 1ถ้วย
กล้วยหั่นชิ้น,ฟักทองหั่นชิ้น,มะพร้าวขูดเส้นไว้แต่งหน้าขนม: ตามใจชอบ"
ข้าวโพดทอด,"ข้าวโพดดิบ: 3 ฝัก
แป้งทอดกรอบ: 3/4 ถ้วยตวง
แป้งข้าวเจ้า: 1/2 ถ้วยตวง
เกลือ: เล็กน้อย
พริกไทยป่น: เล็กน้อย
น้ำเย็นจัด: 1 ถ้วยตวง
น้ำมันพืชสำหรับทอด:"
แกงสับปะรดใส่หอยแมลงภู่,"หอยแมลงภู่ต้มสุก: 1/2 โล
พริกแกงแดง: 2.5 ขีด
สับปะรด: 2 ลูก (โลครึ่ง)
หัวกะทิ: 7 ขีด
หางกะทิ: 1 cup
ใบมะกรูด: 10 ใบ
น้ำตาลปี๊บ: 1 ชต
น้ำปลา: 2 ชต
รสดี ( หมู ): 1 ชต"
ต้มแซ่บเนื้อตุ๋น,"เศษเนื้อ: 1 กิโล
รากผักชี, ข่า, ตะไคร้, ใบมะกรูด, หอมแดง: 
พริกแห้ง, พริกขี้หนู: 
ซอสถั่วเหลือง: 4 ช้อนโต๊ะ
น้ำปลา, น้ำมะนาว: 
ผักชีใปเลื่อย, ผักชี: 
มะเขือเทศ:"
กระเพราปลาหมึก,"ปลาหมึก: 300 กรัม
ใบกะเพรา: 50 กรัม
กระเทียม: 5 กลีบ
พริกขี้หนู: 10 เม็ด
ซีอิ๊วดำ: 1/2 ช้อนโต๊ะ
น้ำตาลทราย: 1/2 ช้อนชา
ซีอิ๊วขาว: 1 ช้อนโต๊ะ
น้ำมันหอย: 1 ช้อนโต๊ะ
น้ำมันสำหรับผัด: 2 ช้อนโต๊ะ
น้ำซุป หรือน้ำเปล่า: สำหรับ"
"หน่อไม้ดอง ( หน่อไม้ส้ม,หน่อไม้เปรี้ยว )","หน่อไม้: 4 หน่อ
เกลือป่น: 2 ช้อนโต๊ะ"
ผัดเผ็ดไก่หน่อไม้ดอง,"เนื้ออกไก่ (เลาะหนังออก): 1 อกใหญ่
หน่อไม้ดอง: 1/2 กก.
พริกชี้ฟ้าแดงและเขียว: 30 เม็ด หรือตามชอบ
กระเทียม: 20 กลีบ
ใบโหระพาเด็ด: 2 ต้น
น้ำปลา: 2 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนโต๊ะ
น้ำมันหอย: 2 ช้อนโต๊ะ
น้ำเปล่า (ไว้สำหรับล้างพริกแกงก้นครก): 3-4 ช้อนโต๊ะ"
ซอสก๋วยเตี๋ยวแห้ง 🥢,"เส้นก๋วยเตี๋ยวตามชอบ: 
น้ำเปล่า: 
น้ำส้มสายชู: 
น้ำตาลทราย: 
ซอสฝาเขียว: 
ซีอิ๊วดำ: 
พริกป่น: 
พริกไทย: 
ขึ้นฉ่าย: "
ไข่เจียวไร้นำ้มัน ฟู อร่อย ด้วย Air Fryer,"ไข่ไก่: 2 ฟอง
หมูยอ: เล็กน้อย
หอมใหญ่: เล็กน้อย
ซอสฝาเขียว: เล็กน้อย"
ขนมช่อม่วง ไส้หมู,"แป้งข้าวเจ้า: 1 ถ้วยตวง
แห้งท้าวยายม่อม: 1 ช้อนโต๊ะ
แป้งมัน: 1 ช้อนโต๊ะ
แป้งข้าวเหนียว: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อชา
เกลือ: 1/4 ช้อนชา
น้ำเปล่า: 2/3 ถ้วยตวง
กะทิ: 1/3 ถ้วยตวง
น้ำมันพืข: 1 ช้อนโต๊ะ
หมูสับ: 1/4 ถ้วย
รากผักชี กระเทียม พริกไทย: 1 ช้อนโต๊ะ
หอมใหญ่: 1/4 ถ้วย
ไชโป๊หวาน: 1/4 ถ้วย
น้ำตาลปี๊บ: 3 ช้อนโต๊ะ
หอมเจียว: 1 ช้อนโต๊ะ
ถั่วลิสงป่นหยาบ: 1/4 ถ้วย"
แกงเขียวหวานหมู (มือใหม่หัดแกง),"เนื้อหมู: 1 Kg
พริกแกงเขียวหวาน: 2 ขีด
หัวกะทิ: 500 ml
ใบโหระพา: 
มะเขือเปราะ: 
มะเขือพวง: 
พริกชี้ฟ้า: 
ใบมะกรูด: 
น้ำตาลมะพร้าว: 
น้ำปลา: 
น้ำมันพืช:"
แกงจืดตำลึงเต้าหู้หมูสับ,"ใบตำลึง: 1 กำ
เต้าหู้ไข่: 2 หลอด
หมูสับ: 4 ขีด
ซอสปรุงรส: 2 ช้อนโต๊ะ
พริกไทยป่น: 1 ช้อนโต๊ะ
น้ำเปล่า: 1 ลิตร
คนอร์ซุปก้อนรสหมู: 1 ก้อน
ซีอิ๊วขาว: 1 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ"
ต้มยำปลาช่อน,"ปลาช่อน: 2 กก.
ตะไคร้: 2 ต้น
ข่าหั่นเป็นแว่น: 5 แว่น
ใบมะกรูด: 10 ใบ
พริกขี้หนูสวน: 10 เม็ด
พริกแห้ง: 10 เม็ด
มะนาว: 1 ช้อนโต๊ะ
เกลือ: 2 ช้อนชา
ใบกระเพรา: 1 กำมือ
น้ำตาลทราย: 1/2 ช้อนชา"
ตำถั่วอร่อยสุดในสามโลก,"ถั่วฝักยาว: 5 ฝัก
น้ำตาลทราย: ตามใจชอบ ตัดเค็ม
น้ำปลา: 1 ชต
น้ำปลาร้า: 2 ชต
มะนาว: 1 ลูก
ผงชูรส: 1 ชช
มะเขือเทศ: 2 ลูก
กระเทียม: 2 กลีบ
พริก: ตามใจชอบ"
กุ้งแช่น้ำปลากวน,"กุ้ง: 1/2 kg.
โซดา: 1 ขวด
น้ำปลากวน: 
น้ำจิ้มซีฟู๊ด: 
ผักชี กระเทียมหั่น พริกซอย: ตามชอบ"
แกงป่า,"เนื้อไก่: 200 g
พริกไทย: ตามชอบ
พริกแดง: ตามชอบ
ผงปรุงรส: 1 Tbs
พริกแกง: 20 g
ใบกะเพรา: 1กำมือ
มะเขือเปาะ: 7ผล
มะเขือพวง: 2พวง
กระชาย: ตามชอบ
ถั่งฝักยาว: 2ฝัก
น้ำตาล: เล็กน้อย"
ต้มข่าไก่ใส่หัวปลี,"อกไก่: 1 ชิ้น
น่องไก่: 4 ชิ้น
เห็ดฟาง: 4-5 ดอก
กะทิ: 1/2 กล่อง
เกลือป่น: 1 ช้อนชา
มะนาว: 1/2 ลูก หรือตามชอบ
น้ำปลา: ใส่เท่าสัดส่วนน้ำมะนาว
น้ำตาลทราย: 1 1/2 ช้อนชา
ใบมะกรูดฉีกครึ่ง: 4 ใบ
ข่าหั่นแว่น: 1 หัว
พริกขี้หนู: 8-10 เม็ด หรือตามชอบ
ตะไคร้: 1 ต้น
น้ำเปล่า: 
หัวปลี: 1 หัว
เลือดไก่หั่นก้อนยาวๆ: ตามชอบ
ผีกชีฝรั่ง: 3 ใบ"
ต้มหน่อไม้หวานซี่โครงหมู,"หน่อไม้หวาน: 1 หัว
ซี่โครงหมู: 500 กรัม
กุ้งแห้งใหญ่: 1 ถ้วย
รากผักชี: 3 ราก
กระเทียมจีน: 5 กลีบ
พริกไทยเม็ด: เล็กน้อย
ซุปหมูก้อนคนอร์: 1 ก้อน"
แกงส้มปลากระพงผักรวม (แกงส้มปักษ์ใต้),"ปลากระพง(ประมาณ1กิโล): 1ตัว
พริกแกงเหลือง: 3-4ช้อนโต๊ะ
ผักตามชอบ(มะละกอ แครอท ถั่วฟักยาว: ตามชอบ
ส้มแขก: 4-5ชิ้น
น้ำปลา: 3-4ช้อนโต๊ะ
น้ำตาล: 2-3ช้อนโต๊ะ"
ไก่พะโล้,"เนื้อไกปีกบนผสมปีกปลาย: 15 ชิ้น
ไข่ไก่ต้มสุก: 7 ฟอง
กระเทียมกลีบใหญ่: 10 กลีบ
รากผักชีทุบ: 5 ต้น
ผงพะโล้: 1ช้อนโต๊ะ
ผงปรุงรส: 1 ช้อนชา
น้ำตาลปีบ(ใส่ตามความชอบหวานมากน้อย): 
น้ำปลา: 3 ช้อนโต๊ะ
น้ำมันพืช(สำหรับผัด): พอประมาณ
ผงชูรส(บางคนอาจจะใส่): 1/2 ช้อนชา
ซีอิ้วดำ(สังเกตุสีตามชอบ): 2 ช้อนโต๊ะ"
ข้าวผัดไข่,"ข้าวสวย: 3 ถ้วย
ไข่ไก่: 3 ฟอง
แครอทสับ: 1 ช้อนโต๊ะ
ซอสปรุงรส: 2 ช้อนโต๊ะ
เกลือ: 1/2 ช้อนชา
เนย: 10 กรัม
ต้นหอมซอย: 1 ช้อนโต๊ะ
น้ำมันพืช: เล็กน้อย"
ปลาดุกทอดกรอบผัดพริกแกง,"พริกแกงแดง: 3 ช้อนโต๊ะ
ปลาดุก: ครึ่งโล
น้ำตาลปี๊บ: 1 + 1/2 ช้อนโต๊ะ
ซีอิ๋วขาว: 1 ช้อนโต๊ะ
กระชาย: 
น้ำสะอาด: 
พริกชี้ฟ้าแดง: 
ใบกระเพรา: 
น้ำมันพืช:"
ข้าวเกรียบปากหม้อ,"แป้งข้าวเจ้า: 300 กรัม
แป้งมันสำปะหลัง: 100 กรัม
แป้งท้าวยายม่อม: 50 กรัม
เกลือป่น: 3 กรัม
น้ำเปล่า: 1 1/2 ถ้วยตวง
ใช้ไส้ร่วมกับม้าฮ่อ: 30 ก้อน
ผักชี: 
ผักกาดหอม: 
พริกขี้หนูสวน: 
กระเทียมเจียว: 
พริกชี้ฟ้าแดงซอย: 
สีผสมอาหารตามชอบ: 
น้ำเดือด: 3 ถ้วยตวง"
ปลาทูต้มหวาน,"ปลาทู: 1 ก.ก.
ตะไคร้บุบ: 3 ต้น
หัวหอมแดงบุบ: 8 หัว
น้ำตาลปี๊บ: 80 กรัม
น้ำเปล่า: 1.5 ลิตร
ซีอิ้วดำหวาน: 1-2 ช้อนโต๊ะ
ซีอิ้วขาว: 2 ช้อนโต๊ะ
เกลือเม็ดใหญ่: 1/2 ช้อนชา
น้ำมะขามเปียก: 2 ช้อนโต๊ะ"
ปลาทูต้มหวาน,"ปลาทู: 1 ก.ก.
ตะไคร้บุบ: 3 ต้น
หัวหอมแดงบุบ: 8 หัว
น้ำตาลปี๊บ: 80 กรัม
น้ำเปล่า: 1.5 ลิตร
ซีอิ้วดำหวาน: 1-2 ช้อนโต๊ะ
ซีอิ้วขาว: 2 ช้อนโต๊ะ
เกลือเม็ดใหญ่: 1/2 ช้อนชา
น้ำมะขามเปียก: 2 ช้อนโต๊ะ"
แกงเผ็ดไก่มะเขือเปาะ,"เนื้อไก่หั่น: 1/2กก
ปีกบนสับกลาง: 1/2กก
พริกแกงเขียว: 15บาท
พริกแกงแดง: 5บาท
มะเขือเปาะ: 1/2กก
มะเขือพวง: 10บาท
พริกชี้ฟ้าแดง: 3เม็ด
โหรภา: 1กำ
กะทิ: 2กล่อง
กะทิเขียวหวาน: 1กล่อง
น้ำตาลปึก: 3-5ก้อน
น้ำปลา: 1ถ้วย
น้ำมันพืช: 2ชต"
ไก่ผัดพริกแกง,"1. เนื้อไก่: 50 กรัม
2. ถั่วฝักยาว: 70 กรัม
3. มะเขือ: 60 กรัม
4. ใบมะกรูด: 2 ใบ
5. พริก: 3-4 เม็ด
6. พริกแกงแดง: 2 ช้อนโต๊ะ
7. น้ำตาล: 1/2 ช้อนโต๊ะ
8. ผงซุปไก่ก้อน: 1 ก้อน
9. น้ำมัน: 2 ช้อนโต๊ะ"
ต้มยำกุ้งน้ำใส,"กุ้งไซส์กลาง-ใหญ่ 6 ตัว: 
เห็ดฟาง 200 กรัม: 
ข่าหั่นเป็นชิ้นบางๆ 15 ชิ้น: 
ตะไคร้ 3 ต้น: 
ใบมะกรูด 5 ใบ: 
หอมแดง 5 หัว: 
พริกขี้หนูสวน 10 เม็ด: 
คนอร์ขวดซอสข้นปรุงรส 2 ช้อนโต๊ะ: 
มะนาว 6 ช้อนโต๊ะ: 
น้ำปลา 2 ช้อนโต๊ะ:"
ก๋วยจั๊บน้ำข้น เครื่องล้นชาม,"น้ำเปล่า: 
เส้นก๋วยจั๊บสำเร็จรูป: 
กระดูกหมู: 
ตับหมู: 
เลือดก้อน: 
ไข่ไก่: 
ไส้ใหญ่หมู: 
หมูสามชั้น: 
เต้าหู้ทอดกรอบ: 
รากผักชี: 
รสดีก้อน: 
ผงพะโล้สำเร็จรูป: 
พริกหอม: 
อบเชย: 
โป๊ยก๊ก: 
กระเทียม: 
น้ำตาลทราย: 
ซีอิ๋วดำหวาน: 
ซีอิ๋วขาว: 
น้ำมันหอย: 
กระเทียมเจียว: 
ผีกชี + ต้นหอม: "
แกงส้มใต้,"มะละกอ: 1 ลูก
ปลาทับทิม: 1 ตัว
น้ำพริกแกงส้มใต้: 1 ซอง
น้ำมะขามเปียก: 5 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำตาลปีบ: 1 ช้อนโต๊ะ"
หมูย่างน้ำจิ้มแจ่วหม้ออบลมร้อน,"เนื้อหมู (ส่วนสันคอ หรือ สันนอก สำหรับคนกลัวอ้วน): 500 กรัม
น้ำตาลทราย: 2 ช้อนโต๊ะ
ซอสปรุงรส: 2 ช้อนโต๊ะ
ซอสหอยนางรม: 1 ช้อนโต๊ะ
พริกป่น: 2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
น้ำมะนาว: 4 ช้อนโต๊ะ
ข้าวคั่ว: 2 ช้อนโต๊ะ
หอมแดงซอย: 1/3 ถ้วยตวง
ต้นหอมซอย: 2 ต้น
ผักชีฝรั่งซอย: 1 ต้น
แตงกวาหั่น: 1 ถ้วยตวง"
สะตอหมูสับผัดกะปิ,"สะตอ: 4ฝัก
หมูสับ: 20บาท
กะปิอย่างนำไปเวฟ2วินาที: ช้อนโต๊ะครึ่ง
พริกขี้หนูสวน: 10เม็ด
พริกจินดาสีแดง: 4เม็ด
น้ำมันหอย: 1ช้อนโต๊ะ
น้ำปลา: 2ช้อนชา
น้ำตาล: 2ช้อนชา
กระเทียมไทย: 4กลีบ
หอมแดง: 1หัว"
สะตอหมูสับผัดกะปิ,"สะตอ: 4ฝัก
หมูสับ: 20บาท
กะปิอย่างนำไปเวฟ2วินาที: ช้อนโต๊ะครึ่ง
พริกขี้หนูสวน: 10เม็ด
พริกจินดาสีแดง: 4เม็ด
น้ำมันหอย: 1ช้อนโต๊ะ
น้ำปลา: 2ช้อนชา
น้ำตาล: 2ช้อนชา
กระเทียมไทย: 4กลีบ
หอมแดง: 1หัว"
หลนเต้าเจี้ยวหมูสับ,"หมูบด: 
หอมแดงซอย: 
ตะไคร้ซอย: 
ใบมะกรูดซอย: 
พริกขี้หนูซอย: 
พริกชี้ฟ้าแดงซอย: 
กะทิ: 
น้ำตาลปี้บ: 
น้ำมะขามเปียก: 
เต้าเจี้ยว: 
เกลือป่น: "
ต้มยำไก่น้ำข้น,"ไก่หั่นเป็นชิ้น: 300 กรัม
เห็ดนางฟ้า: 150 กรัม
เห็ดโคนญี่ปุ่น: 150 กรัม
น้ำพริกเผา: 1 1/2 ช้อนโต๊ะ
หอมแดงทุบ: 4 หัว
ข่าหั่นแว่น: 5 ชิ้น
ตะไคร้หั่นท่อน: 4 ต้น
พริกขี้หนูทุบ: 10-15 เม็ด
ใบมะกรูดฉีก: 5 ใบ
น้ำมะนาว: 3 ช้อนโต๊ะ
พริกแห้งคั่ว: 6 เม็ด
ผักชีฝรั่งซอย: 2 ช้อนโต๊ะ
น้ำปลา: 3ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
นมข้นจืด: 1 ถ้วย
น้ำเปล่า:"
แกงผักกาดใส่ไก่,"น่องไก่: 1/2 กก
พริกแห้ง: 11 เม็ด
หอมขาว: 10 กลีบ
หอมแดง: 3 หัว
เกลือ: 1/4 ช้อนโต๊ะ
กะปิ: 3/4 ช้อนโต๊ะ
ปลาร้า: 1 ช้อนโต๊ะ
มะแคว่น: 1 หยิบมือ
ผักกาดกวางตุ้ง: 1 กก
น้ำมันพืช: 2 ช้อนโต๊ะ
ผักชีลาว: 100 กรัม
ตะไคร้: 1 หัว"
ยำขนมจีนทะเล,"กุ้ง: 1/2 kg
ปลาหมึก (ตัวใหญ่): 1 ตัว
หอยแมลงภู่: 1 kg
ขนมจีน: 1/2 kg
ถั่วฝักยาว (ซอย): 5 ฝัก
พริกขี้หนู (ซอย): 12 เม็ด
น้ำตาลปี๊ป: 2 ช้อน
น้ำปลา: 1 ช้อน
ปลาร้าต้มสุก: 2 ช้อน
พริกป่น: 1 ช้อนชา
มะนาว: 2 ลูก
ต้นหอม (ซอย): 2 ต้น
ผักชีฝรั่ง (ซอย): 1 ต้น"
ไข่ยัดไส้,"ไข่ไก่: 3 ฟอง
หมูสับ: 150 - 200 กรัม
แครอท หั่นเต๋า: 1/2 ถ้วย
หอมใหญ่ หั่นเต๋า: 1/2 ถ้วย
ข้าวโพดอ่อน: ตามชอบ
มะเขือเทศ หั่นเต๋า (ถ้าไม่ชอบผัดแบบแฉะๆ ให้คว้านไส้ออก): 1/2 ถ้วย
ต้นหอมซอย: ตามชอบ
ผักชี (สำหรับแต่งจาน): ตามชอบ
ซอสปรุงรสลุงหนวด ฝาส้ม ภูเขาทอง: เหยาะเล็กน้อย
ซอสมะเขือเทศ: 4 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
พริกไทยป่น: ตามชอบ
ซอสปรุงรสฝาเขียว ภูเขาทอง: 1 ช้อนโต๊ะ
ซอสหอยนางรม: 1 ช้อนโต๊ะ"
ปลาเผาผักสด/เมี่ยงปลาเผา/ปลานิลเผาเกลือ แบบใช้เตาอบ,"ปลา: 1 ตัว
เกลือป่น: 250 กรัม
แป้งสาลีเอนกประสงค์หรือแป้งมัน: 1 ช้อนโต๊ะ
ตะไคร้: 2ต้น
ใบเตย: 2 ใบ
ผักแกล้มผักต่างๆตามชอบ: 
ซีฟู้ดกุ้ง,ปลาหมึก ตามชอบ: 
เส้นหมี่ ตามชอบ:"
ต้มยำน่องไก่,"น่องไก่: 1/2 kg
ต้นหอม: 2 ต้น
ตะไคร้: 2 ต้น
พริกชี้ฟ้า: 4 เม็ด
คนอร์ต้มยำ: 2 ก้อน
ใบมะกรูด: 10 ใบ
ข่า: 3 หัว"
กระเพราหมูสับ,"หมูสับ: 1 ขีด
พริกแดง: 4 เม็ด
หอมขาว (ใหญ่): 4 กลีบ
ใบกระเพรา: 1 หยิบมือ
น้ำมันหอย: 2 ช้อนโต็ะ
ซอสฝาเขียว: 2 ช้อนโต๊ะ
น้ำตาล: ครึ่งช้อนโต๊ะ
ผงปรุงรสหมู: ครึ่งช้อนโต๊ะ
ซีอิ้วดำ: ครึ่งช้อนโต๊ะ
น้ำ: พอควร"
ผัดเผ็ดหน่อไม้ดองหมูสับ,"หน่อไม้ดอง: 1/2กก
หมูบด: 1/2ขีด
ใบมะกรูดฉีก: 8-10ใบ
โหรภา: 2-3ต้น
พริกเหลือง: 4-5เม็ด
พริกแกงเผ็ด: 10บาท
น้ำปลา: 2ชต
น้ำตาล: 1ชต
น้ำมันหอย: 2ชต
ซอสปรุงรส: 1ชต
น้ำมันพืช: 3ชต"
ไข่คนทรงเครื่องราดข้าว,"ไข่ไก่: 2 ฟอง
ปูอัด: 3 เเท่ง
เต้าหู้ไข่: 1 หลอด
คนอร์: 1/2 ช้อนชา
ซีอิ๊วขาว: 2 ช้อนชา
กระทะเทฟร่อน:"
พะโล้ขาหมู,"ขาหมู: _
ไข่ไก่ต้ม: _
กระเทียม: _
หอมแดง: _
ผักชี: _
ซีอิ๋วดำหวาน: _
น้ำมันหอย: _
น้ำตาลทราย: _
น้ำปลา: _
ผงพะโล้: _"
น้ำจิ้มแจ่ว สูตรมะขามเปียก,"น้ำมะขามเปียก: 2 ช้อนโต๊ะ
มะนาว: 1 ลูก
น้ำปลา: 3 ช้อนโต๊ะ
พริกป่น: 2 ช้อนชา
ข้าวคั่ว: 1 ช้อนชา
ต้นหอม: 2 ใบ
ผักชีฝรั่ง: 2 ใบ
น้ำตาลปี๊บ: 2 ช้อนโต๊ะ"
